TS,5,10,1,8,0,2,4,7,6,9,3
1529580860673,140,-33,144,25,151,178,111,-47,160,249,81
1529580861679,140,-33,144,25,151,178,111,-47,160,249,81
1529580862687,140,-33,144,25,151,178,111,-47,160,249,81
1529580863694,140,-33,144,25,151,178,111,-47,160,249,81
1529580864699,140,-33,144,25,151,178,111,-47,160,249,81
1529580865702,140,-33,144,25,151,178,111,-47,160,249,81
1529580866711,140,-29,151,37,151,178,124,-43,160,209,88
1529580867714,143,-39,144,99,141,178,124,-5,170,136,95
1529580868718,143,7,142,99,148,187,114,-44,170,139,95
1529580869726,143,18,152,111,158,187,114,-18,167,151,113
1529580870733,143,-10,151,124,156,187,121,-69,170,181,113
1529580871738,133,-41,151,147,156,187,140,-53,170,178,113
1529580872745,118,-56,144,119,141,187,140,-7,177,214,105
1529580873749,109,-56,135,116,150,177,139,-57,167,230,105
1529580874753,109,-73,135,122,150,177,139,-41,159,221,105
1529580875759,109,-73,135,122,150,177,139,-41,159,221,105
